Step,RAC,ent1,prop1,ent2,prop2,ent3,prop3,
187,0.0902413,0.0902413,0.999994,0.0974634,1.00001,0.121994,0.999992,
188,0.0901686,0.0901686,1,0.0975041,1.00001,0.122158,1,
189,0.0900958,0.0900958,1.00001,0.0975436,0.999996,0.12232,1.00001,
190,0.0900228,0.0900228,0.999991,0.0975821,1,0.122482,1,
191,0.0899493,0.0899493,0.999992,0.09762,0.999997,0.122642,0.999999,
192,0.0898752,0.0898752,0.999989,0.0976571,0.999986,0.1228,1.00001,
193,0.0898011,0.0898011,1.00001,0.0976932,0.99999,0.122958,1.00001,
194,0.0897268,0.0897268,1.00001,0.0977284,1.00001,0.123114,0.999992,
195,0.0896524,0.0896524,1,0.0977632,0.999998,0.123268,1,
196,0.0895771,0.0895771,1.00001,0.0977972,1,0.123422,1.00001,
197,0.0895019,0.0895019,0.999999,0.0978302,1,0.123574,0.999996,
198,0.0894262,0.0894262,1.00001,0.0978625,0.99999,0.123724,0.999997,
199,0.0893501,0.0893501,1.00001,0.0978941,0.999996,0.123874,1.00001,
200,0.089274,0.089274,0.999991,0.0979246,0.999992,0.124022,1.00001,
