Step,RAC,ent1,ent2,ent3,ent4,
243,0,-0.692179,0.523212,0.510674,0.415411,
244,0,-0.690668,0.520545,0.509396,0.415473,
245,0,-0.689151,0.517895,0.508114,0.415523,
246,0,-0.687628,0.515264,0.506827,0.415562,
247,0,-0.686099,0.512651,0.505535,0.415591,
248,0,-0.684564,0.510055,0.50424,0.415608,
249,0,-0.683022,0.507477,0.50294,0.415614,
250,0,-0.681476,0.504917,0.501637,0.41561,
251,0,-0.679924,0.502374,0.500329,0.415596,
252,0,-0.678366,0.499848,0.499017,0.415571,
253,0,-0.676802,0.497337,0.497703,0.415535,
254,0,-0.675234,0.494845,0.496384,0.415489,
255,0,-0.67366,0.492368,0.495062,0.415433,
256,0,-0.672081,0.489908,0.493737,0.415367,
257,0,-0.670498,0.487463,0.49241,0.415292,
258,0,-0.668909,0.485034,0.491079,0.415206,
259,0,-0.667316,0.482621,0.489746,0.41511,
260,0,-0.665717,0.480224,0.48841,0.415005,
261,0,-0.664114,0.477842,0.487072,0.41489,
262,0,-0.662506,0.475474,0.485731,0.414766,
263,0,-0.660895,0.473123,0.484389,0.414632,
264,0,-0.659279,0.470785,0.483044,0.414489,
265,0,-0.657657,0.468462,0.481697,0.414337,
266,0,-0.656033,0.466154,0.480348,0.414176,
267,0,-0.654404,0.463861,0.478998,0.414006,
268,0,-0.652772,0.461581,0.477646,0.413827,
269,0,-0.651135,0.459316,0.476292,0.413639,
270,0,-0.649494,0.457064,0.474937,0.413443,
271,0,-0.647851,0.454827,0.47358,0.413238,
272,0,-0.646203,0.452603,0.472222,0.413024,
273,0,-0.644552,0.450393,0.470863,0.412802,
274,0,-0.642897,0.448196,0.469503,0.412572,
275,0,-0.64124,0.446013,0.468142,0.412333,
276,0,-0.639579,0.443843,0.46678,0.412087,
277,0,-0.637915,0.441686,0.465417,0.411833,
278,0,-0.636247,0.439541,0.464053,0.411569,
279,0,-0.634577,0.43741,0.462689,0.411299,
280,0,-0.632904,0.435291,0.461324,0.411021,
281,0,-0.631229,0.433185,0.459959,0.410735,
282,0,-0.62955,0.431092,0.458593,0.410441,
283,0,-0.627869,0.429011,0.457227,0.41014,
284,0,-0.626185,0.426942,0.455861,0.409831,
285,0,-0.6245,0.424886,0.454494,0.409515,
286,0,-0.622811,0.42284,0.453128,0.409192,
287,0,-0.621121,0.420809,0.451761,0.408862,
288,0,-0.619428,0.418788,0.450394,0.408524,
289,0,-0.617733,0.416779,0.449027,0.40818,
290,0,-0.616037,0.414782,0.447661,0.407828,
291,0,-0.614338,0.412797,0.446295,0.40747,
292,0,-0.612638,0.410823,0.444928,0.407104,
293,0,-0.610936,0.408861,0.443563,0.406732,
294,0,-0.609233,0.40691,0.442197,0.406354,
295,0,-0.607527,0.404971,0.440832,0.405969,
296,0,-0.605821,0.403042,0.439467,0.405577,
297,0,-0.604112,0.401125,0.438103,0.405179,
298,0,-0.602403,0.399219,0.436741,0.404774,
299,0,-0.600693,0.397324,0.435377,0.404364,
300,0,-0.598981,0.395439,0.434015,0.403947,
301,0,-0.597268,0.393566,0.432654,0.403524,
302,0,-0.595554,0.391703,0.431293,0.403095,
303,0,-0.593839,0.389851,0.429933,0.402661,
304,0,-0.592123,0.388009,0.428575,0.402219,
305,0,-0.590406,0.386178,0.427218,0.401772,
306,0,-0.588689,0.384357,0.425861,0.401319,
307,0,-0.586972,0.382546,0.424507,0.400861,
